
VARNAMES_WGTMAP: logssfr logmass  WGT SNMAG_SHIFT
WGT:  -47.000    6.500 273625.711   0.00
WGT:  -47.000    7.000 865280.474   0.00
WGT:  -47.000    7.500 2736257.112   0.00
WGT:  -47.000    8.000 8652804.738   0.00
WGT:  -47.000    8.500 27362571.120   0.00
WGT:  -47.000    9.000 86528047.376   0.00
WGT:  -47.000    9.500 273625711.197   0.00
WGT:  -47.000   10.000 865280473.764   0.04
WGT:  -47.000   10.500 2736257111.965   0.04
WGT:  -47.000   11.000 8652804737.644   0.04
WGT:  -47.000   11.500 27362571119.650   0.04
WGT:  -47.000   12.000 86528047376.438   0.04
WGT:  -47.000   12.500 273625711196.502   0.04
WGT:  -47.000   13.000 865280473764.382   0.04
WGT:  -46.500    3.000   86.528   0.00
WGT:  -46.500    3.500  273.626   0.00
WGT:  -46.500    4.000  865.280   0.00
WGT:  -46.500    4.500 2736.257   0.00
WGT:  -46.500    5.000 8652.805   0.00
WGT:  -46.500    5.500 27362.571   0.00
WGT:  -46.500    6.000 86528.047   0.00
WGT:  -46.500    6.500 273625.711   0.00
WGT:  -46.500    7.000 865280.474   0.00
WGT:  -46.500    7.500 2736257.112   0.00
WGT:  -46.500    8.000 8652804.738   0.00
WGT:  -46.500    8.500 27362571.120   0.00
WGT:  -46.500    9.000 86528047.376   0.00
WGT:  -46.500    9.500 273625711.197   0.00
WGT:  -46.500   10.000 865280473.764   0.04
WGT:  -46.500   10.500 2736257111.965   0.04
WGT:  -46.500   11.000 8652804737.644   0.04
WGT:  -46.500   11.500 27362571119.650   0.04
WGT:  -46.500   12.000 86528047376.438   0.04
WGT:  -46.500   12.500 273625711196.502   0.04
WGT:  -46.500   13.000 865280473764.382   0.04
WGT:  -46.000    3.000   86.528   0.00
WGT:  -46.000    3.500  273.626   0.00
WGT:  -46.000    4.000  865.280   0.00
WGT:  -46.000    4.500 2736.257   0.00
WGT:  -46.000    5.000 8652.805   0.00
WGT:  -46.000    5.500 27362.571   0.00
WGT:  -46.000    6.000 86528.047   0.00
WGT:  -46.000    6.500 273625.711   0.00
WGT:  -46.000    7.000 865280.474   0.00
WGT:  -46.000    7.500 2736257.112   0.00
WGT:  -46.000    8.000 8652804.738   0.00
WGT:  -46.000    8.500 27362571.120   0.00
WGT:  -46.000    9.000 86528047.376   0.00
WGT:  -46.000    9.500 273625711.197   0.00
WGT:  -46.000   10.000 865280473.764   0.04
WGT:  -46.000   10.500 2736257111.965   0.04
WGT:  -46.000   11.000 8652804737.644   0.04
WGT:  -46.000   11.500 27362571119.650   0.04
WGT:  -46.000   12.000 86528047376.438   0.04
WGT:  -46.000   12.500 273625711196.502   0.04
WGT:  -46.000   13.000 865280473764.382   0.04
WGT:  -45.500    3.000   86.528   0.00
WGT:  -45.500    3.500  273.626   0.00
WGT:  -45.500    4.000  865.280   0.00
WGT:  -45.500    4.500 2736.257   0.00
WGT:  -45.500    5.000 8652.805   0.00
WGT:  -45.500    5.500 27362.571   0.00
WGT:  -45.500    6.000 86528.047   0.00
WGT:  -45.500    6.500 273625.711   0.00
WGT:  -45.500    7.000 865280.474   0.00
WGT:  -45.500    7.500 2736257.112   0.00
WGT:  -45.500    8.000 8652804.738   0.00
WGT:  -45.500    8.500 27362571.120   0.00
WGT:  -45.500    9.000 86528047.376   0.00
WGT:  -45.500    9.500 273625711.197   0.00
WGT:  -45.500   10.000 865280473.764   0.04
WGT:  -45.500   10.500 2736257111.965   0.04
WGT:  -45.500   11.000 8652804737.644   0.04
WGT:  -45.500   11.500 27362571119.650   0.04
WGT:  -45.500   12.000 86528047376.438   0.04
WGT:  -45.500   12.500 273625711196.502   0.04
WGT:  -45.500   13.000 865280473764.382   0.04
WGT:  -45.000    3.000   86.528   0.00
WGT:  -45.000    3.500  273.626   0.00
WGT:  -45.000    4.000  865.280   0.00
WGT:  -45.000    4.500 2736.257   0.00
WGT:  -45.000    5.000 8652.805   0.00
WGT:  -45.000    5.500 27362.571   0.00
WGT:  -45.000    6.000 86528.047   0.00
WGT:  -45.000    6.500 273625.711   0.00
WGT:  -45.000    7.000 865280.474   0.00
WGT:  -45.000    7.500 2736257.112   0.00
WGT:  -45.000    8.000 8652804.738   0.00
WGT:  -45.000    8.500 27362571.120   0.00
WGT:  -45.000    9.000 86528047.376   0.00
WGT:  -45.000    9.500 273625711.197   0.00
WGT:  -45.000   10.000 865280473.764   0.04
WGT:  -45.000   10.500 2736257111.965   0.04
WGT:  -45.000   11.000 8652804737.644   0.04
WGT:  -45.000   11.500 27362571119.650   0.04
WGT:  -45.000   12.000 86528047376.438   0.04
WGT:  -45.000   12.500 273625711196.502   0.04
WGT:  -45.000   13.000 865280473764.382   0.04
WGT:  -44.500    3.000   86.528   0.00
WGT:  -44.500    3.500  273.626   0.00
WGT:  -44.500    4.000  865.280   0.00
WGT:  -44.500    4.500 2736.257   0.00
WGT:  -44.500    5.000 8652.805   0.00
WGT:  -44.500    5.500 27362.571   0.00
WGT:  -44.500    6.000 86528.047   0.00
WGT:  -44.500    6.500 273625.711   0.00
WGT:  -44.500    7.000 865280.474   0.00
WGT:  -44.500    7.500 2736257.112   0.00
WGT:  -44.500    8.000 8652804.738   0.00
WGT:  -44.500    8.500 27362571.120   0.00
WGT:  -44.500    9.000 86528047.376   0.00
WGT:  -44.500    9.500 273625711.197   0.00
WGT:  -44.500   10.000 865280473.764   0.04
WGT:  -44.500   10.500 2736257111.965   0.04
WGT:  -44.500   11.000 8652804737.644   0.04
WGT:  -44.500   11.500 27362571119.650   0.04
WGT:  -44.500   12.000 86528047376.438   0.04
WGT:  -44.500   12.500 273625711196.502   0.04
WGT:  -44.500   13.000 865280473764.382   0.04
WGT:  -44.000    3.000   86.528   0.00
WGT:  -44.000    3.500  273.626   0.00
WGT:  -44.000    4.000  865.280   0.00
WGT:  -44.000    4.500 2736.257   0.00
WGT:  -44.000    5.000 8652.805   0.00
WGT:  -44.000    5.500 27362.571   0.00
WGT:  -44.000    6.000 86528.047   0.00
WGT:  -44.000    6.500 273625.711   0.00
WGT:  -44.000    7.000 865280.474   0.00
WGT:  -44.000    7.500 2736257.112   0.00
WGT:  -44.000    8.000 8652804.738   0.00
WGT:  -44.000    8.500 27362571.120   0.00
WGT:  -44.000    9.000 86528047.376   0.00
WGT:  -44.000    9.500 273625711.197   0.00
WGT:  -44.000   10.000 865280473.764   0.04
WGT:  -44.000   10.500 2736257111.965   0.04
WGT:  -44.000   11.000 8652804737.644   0.04
WGT:  -44.000   11.500 27362571119.650   0.04
WGT:  -44.000   12.000 86528047376.438   0.04
WGT:  -44.000   12.500 273625711196.502   0.04
WGT:  -44.000   13.000 865280473764.382   0.04
WGT:  -43.500    3.000   86.528   0.00
WGT:  -43.500    3.500  273.626   0.00
WGT:  -43.500    4.000  865.280   0.00
WGT:  -43.500    4.500 2736.257   0.00
WGT:  -43.500    5.000 8652.805   0.00
WGT:  -43.500    5.500 27362.571   0.00
WGT:  -43.500    6.000 86528.047   0.00
WGT:  -43.500    6.500 273625.711   0.00
WGT:  -43.500    7.000 865280.474   0.00
WGT:  -43.500    7.500 2736257.112   0.00
WGT:  -43.500    8.000 8652804.738   0.00
WGT:  -43.500    8.500 27362571.120   0.00
WGT:  -43.500    9.000 86528047.376   0.00
WGT:  -43.500    9.500 273625711.197   0.00
WGT:  -43.500   10.000 865280473.764   0.04
WGT:  -43.500   10.500 2736257111.965   0.04
WGT:  -43.500   11.000 8652804737.644   0.04
WGT:  -43.500   11.500 27362571119.650   0.04
WGT:  -43.500   12.000 86528047376.438   0.04
WGT:  -43.500   12.500 273625711196.502   0.04
WGT:  -43.500   13.000 865280473764.382   0.04
WGT:  -43.000    3.000   86.528   0.00
WGT:  -43.000    3.500  273.626   0.00
WGT:  -43.000    4.000  865.280   0.00
WGT:  -43.000    4.500 2736.257   0.00
WGT:  -43.000    5.000 8652.805   0.00
WGT:  -43.000    5.500 27362.571   0.00
WGT:  -43.000    6.000 86528.047   0.00
WGT:  -43.000    6.500 273625.711   0.00
WGT:  -43.000    7.000 865280.474   0.00
WGT:  -43.000    7.500 2736257.112   0.00
WGT:  -43.000    8.000 8652804.738   0.00
WGT:  -43.000    8.500 27362571.120   0.00
WGT:  -43.000    9.000 86528047.376   0.00
WGT:  -43.000    9.500 273625711.197   0.00
WGT:  -43.000   10.000 865280473.764   0.04
WGT:  -43.000   10.500 2736257111.965   0.04
WGT:  -43.000   11.000 8652804737.644   0.04
WGT:  -43.000   11.500 27362571119.650   0.04
WGT:  -43.000   12.000 86528047376.438   0.04
WGT:  -43.000   12.500 273625711196.502   0.04
WGT:  -43.000   13.000 865280473764.382   0.04
WGT:  -42.500    3.000   86.528   0.00
WGT:  -42.500    3.500  273.626   0.00
WGT:  -42.500    4.000  865.280   0.00
WGT:  -42.500    4.500 2736.257   0.00
WGT:  -42.500    5.000 8652.805   0.00
WGT:  -42.500    5.500 27362.571   0.00
WGT:  -42.500    6.000 86528.047   0.00
WGT:  -42.500    6.500 273625.711   0.00
WGT:  -42.500    7.000 865280.474   0.00
WGT:  -42.500    7.500 2736257.112   0.00
WGT:  -42.500    8.000 8652804.738   0.00
WGT:  -42.500    8.500 27362571.120   0.00
WGT:  -42.500    9.000 86528047.376   0.00
WGT:  -42.500    9.500 273625711.197   0.00
WGT:  -42.500   10.000 865280473.764   0.04
WGT:  -42.500   10.500 2736257111.965   0.04
WGT:  -42.500   11.000 8652804737.644   0.04
WGT:  -42.500   11.500 27362571119.650   0.04
WGT:  -42.500   12.000 86528047376.438   0.04
WGT:  -42.500   12.500 273625711196.502   0.04
WGT:  -42.500   13.000 865280473764.382   0.04
WGT:  -42.000    3.000   86.528   0.00
WGT:  -42.000    3.500  273.626   0.00
WGT:  -42.000    4.000  865.280   0.00
WGT:  -42.000    4.500 2736.257   0.00
WGT:  -42.000    5.000 8652.805   0.00
WGT:  -42.000    5.500 27362.571   0.00
WGT:  -42.000    6.000 86528.047   0.00
WGT:  -42.000    6.500 273625.711   0.00
WGT:  -42.000    7.000 865280.474   0.00
WGT:  -42.000    7.500 2736257.112   0.00
WGT:  -42.000    8.000 8652804.738   0.00
WGT:  -42.000    8.500 27362571.120   0.00
WGT:  -42.000    9.000 86528047.376   0.00
WGT:  -42.000    9.500 273625711.197   0.00
WGT:  -42.000   10.000 865280473.764   0.04
WGT:  -42.000   10.500 2736257111.965   0.04
WGT:  -42.000   11.000 8652804737.644   0.04
WGT:  -42.000   11.500 27362571119.650   0.04
WGT:  -42.000   12.000 86528047376.438   0.04
WGT:  -42.000   12.500 273625711196.502   0.04
WGT:  -42.000   13.000 865280473764.382   0.04
WGT:  -41.500    3.000   86.528   0.00
WGT:  -41.500    3.500  273.626   0.00
WGT:  -41.500    4.000  865.280   0.00
WGT:  -41.500    4.500 2736.257   0.00
WGT:  -41.500    5.000 8652.805   0.00
WGT:  -41.500    5.500 27362.571   0.00
WGT:  -41.500    6.000 86528.047   0.00
WGT:  -41.500    6.500 273625.711   0.00
WGT:  -41.500    7.000 865280.474   0.00
WGT:  -41.500    7.500 2736257.112   0.00
WGT:  -41.500    8.000 8652804.738   0.00
WGT:  -41.500    8.500 27362571.120   0.00
WGT:  -41.500    9.000 86528047.376   0.00
WGT:  -41.500    9.500 273625711.197   0.00
WGT:  -41.500   10.000 865280473.764   0.04
WGT:  -41.500   10.500 2736257111.965   0.04
WGT:  -41.500   11.000 8652804737.644   0.04
WGT:  -41.500   11.500 27362571119.650   0.04
WGT:  -41.500   12.000 86528047376.438   0.04
WGT:  -41.500   12.500 273625711196.502   0.04
WGT:  -41.500   13.000 865280473764.382   0.04
WGT:  -41.000    3.000   86.528   0.00
WGT:  -41.000    3.500  273.626   0.00
WGT:  -41.000    4.000  865.280   0.00
WGT:  -41.000    4.500 2736.257   0.00
WGT:  -41.000    5.000 8652.805   0.00
WGT:  -41.000    5.500 27362.571   0.00
WGT:  -41.000    6.000 86528.047   0.00
WGT:  -41.000    6.500 273625.711   0.00
WGT:  -41.000    7.000 865280.474   0.00
WGT:  -41.000    7.500 2736257.112   0.00
WGT:  -41.000    8.000 8652804.738   0.00
WGT:  -41.000    8.500 27362571.120   0.00
WGT:  -41.000    9.000 86528047.376   0.00
WGT:  -41.000    9.500 273625711.197   0.00
WGT:  -41.000   10.000 865280473.764   0.04
WGT:  -41.000   10.500 2736257111.965   0.04
WGT:  -41.000   11.000 8652804737.644   0.04
WGT:  -41.000   11.500 27362571119.650   0.04
WGT:  -41.000   12.000 86528047376.438   0.04
WGT:  -41.000   12.500 273625711196.502   0.04
WGT:  -41.000   13.000 865280473764.382   0.04
WGT:  -40.500    3.000   86.528   0.00
WGT:  -40.500    3.500  273.626   0.00
WGT:  -40.500    4.000  865.280   0.00
WGT:  -40.500    4.500 2736.257   0.00
WGT:  -40.500    5.000 8652.805   0.00
WGT:  -40.500    5.500 27362.571   0.00
WGT:  -40.500    6.000 86528.047   0.00
WGT:  -40.500    6.500 273625.711   0.00
WGT:  -40.500    7.000 865280.474   0.00
WGT:  -40.500    7.500 2736257.112   0.00
WGT:  -40.500    8.000 8652804.738   0.00
WGT:  -40.500    8.500 27362571.120   0.00
WGT:  -40.500    9.000 86528047.376   0.00
WGT:  -40.500    9.500 273625711.197   0.00
WGT:  -40.500   10.000 865280473.764   0.04
WGT:  -40.500   10.500 2736257111.965   0.04
WGT:  -40.500   11.000 8652804737.644   0.04
WGT:  -40.500   11.500 27362571119.650   0.04
WGT:  -40.500   12.000 86528047376.438   0.04
WGT:  -40.500   12.500 273625711196.502   0.04
WGT:  -40.500   13.000 865280473764.382   0.04
WGT:  -40.000    3.000   86.528   0.00
WGT:  -40.000    3.500  273.626   0.00
WGT:  -40.000    4.000  865.280   0.00
WGT:  -40.000    4.500 2736.257   0.00
WGT:  -40.000    5.000 8652.805   0.00
WGT:  -40.000    5.500 27362.571   0.00
WGT:  -40.000    6.000 86528.047   0.00
WGT:  -40.000    6.500 273625.711   0.00
WGT:  -40.000    7.000 865280.474   0.00
WGT:  -40.000    7.500 2736257.112   0.00
WGT:  -40.000    8.000 8652804.738   0.00
WGT:  -40.000    8.500 27362571.120   0.00
WGT:  -40.000    9.000 86528047.376   0.00
WGT:  -40.000    9.500 273625711.197   0.00
WGT:  -40.000   10.000 865280473.764   0.04
WGT:  -40.000   10.500 2736257111.965   0.04
WGT:  -40.000   11.000 8652804737.644   0.04
WGT:  -40.000   11.500 27362571119.650   0.04
WGT:  -40.000   12.000 86528047376.438   0.04
WGT:  -40.000   12.500 273625711196.502   0.04
WGT:  -40.000   13.000 865280473764.382   0.04
WGT:  -39.500    3.000   86.528   0.00
WGT:  -39.500    3.500  273.626   0.00
WGT:  -39.500    4.000  865.280   0.00
WGT:  -39.500    4.500 2736.257   0.00
WGT:  -39.500    5.000 8652.805   0.00
WGT:  -39.500    5.500 27362.571   0.00
WGT:  -39.500    6.000 86528.047   0.00
WGT:  -39.500    6.500 273625.711   0.00
WGT:  -39.500    7.000 865280.474   0.00
WGT:  -39.500    7.500 2736257.112   0.00
WGT:  -39.500    8.000 8652804.738   0.00
WGT:  -39.500    8.500 27362571.120   0.00
WGT:  -39.500    9.000 86528047.376   0.00
WGT:  -39.500    9.500 273625711.197   0.00
WGT:  -39.500   10.000 865280473.764   0.04
WGT:  -39.500   10.500 2736257111.965   0.04
WGT:  -39.500   11.000 8652804737.644   0.04
WGT:  -39.500   11.500 27362571119.650   0.04
WGT:  -39.500   12.000 86528047376.438   0.04
WGT:  -39.500   12.500 273625711196.502   0.04
WGT:  -39.500   13.000 865280473764.382   0.04
WGT:  -39.000    3.000   86.528   0.00
WGT:  -39.000    3.500  273.626   0.00
WGT:  -39.000    4.000  865.280   0.00
WGT:  -39.000    4.500 2736.257   0.00
WGT:  -39.000    5.000 8652.805   0.00
WGT:  -39.000    5.500 27362.571   0.00
WGT:  -39.000    6.000 86528.047   0.00
WGT:  -39.000    6.500 273625.711   0.00
WGT:  -39.000    7.000 865280.474   0.00
WGT:  -39.000    7.500 2736257.112   0.00
WGT:  -39.000    8.000 8652804.738   0.00
WGT:  -39.000    8.500 27362571.120   0.00
WGT:  -39.000    9.000 86528047.376   0.00
WGT:  -39.000    9.500 273625711.197   0.00
WGT:  -39.000   10.000 865280473.764   0.04
WGT:  -39.000   10.500 2736257111.965   0.04
WGT:  -39.000   11.000 8652804737.644   0.04
WGT:  -39.000   11.500 27362571119.650   0.04
WGT:  -39.000   12.000 86528047376.438   0.04
WGT:  -39.000   12.500 273625711196.502   0.04
WGT:  -39.000   13.000 865280473764.382   0.04
WGT:  -38.500    3.000   86.528   0.00
WGT:  -38.500    3.500  273.626   0.00
WGT:  -38.500    4.000  865.280   0.00
WGT:  -38.500    4.500 2736.257   0.00
WGT:  -38.500    5.000 8652.805   0.00
WGT:  -38.500    5.500 27362.571   0.00
WGT:  -38.500    6.000 86528.047   0.00
WGT:  -38.500    6.500 273625.711   0.00
WGT:  -38.500    7.000 865280.474   0.00
WGT:  -38.500    7.500 2736257.112   0.00
WGT:  -38.500    8.000 8652804.738   0.00
WGT:  -38.500    8.500 27362571.120   0.00
WGT:  -38.500    9.000 86528047.376   0.00
WGT:  -38.500    9.500 273625711.197   0.00
WGT:  -38.500   10.000 865280473.764   0.04
WGT:  -38.500   10.500 2736257111.965   0.04
WGT:  -38.500   11.000 8652804737.644   0.04
WGT:  -38.500   11.500 27362571119.650   0.04
WGT:  -38.500   12.000 86528047376.438   0.04
WGT:  -38.500   12.500 273625711196.502   0.04
WGT:  -38.500   13.000 865280473764.382   0.04
WGT:  -38.000    3.000   86.528   0.00
WGT:  -38.000    3.500  273.626   0.00
WGT:  -38.000    4.000  865.280   0.00
WGT:  -38.000    4.500 2736.257   0.00
WGT:  -38.000    5.000 8652.805   0.00
WGT:  -38.000    5.500 27362.571   0.00
WGT:  -38.000    6.000 86528.047   0.00
WGT:  -38.000    6.500 273625.711   0.00
WGT:  -38.000    7.000 865280.474   0.00
WGT:  -38.000    7.500 2736257.112   0.00
WGT:  -38.000    8.000 8652804.738   0.00
WGT:  -38.000    8.500 27362571.120   0.00
WGT:  -38.000    9.000 86528047.376   0.00
WGT:  -38.000    9.500 273625711.197   0.00
WGT:  -38.000   10.000 865280473.764   0.04
WGT:  -38.000   10.500 2736257111.965   0.04
WGT:  -38.000   11.000 8652804737.644   0.04
WGT:  -38.000   11.500 27362571119.650   0.04
WGT:  -38.000   12.000 86528047376.438   0.04
WGT:  -38.000   12.500 273625711196.502   0.04
WGT:  -38.000   13.000 865280473764.382   0.04
WGT:  -37.500    3.000   86.528   0.00
WGT:  -37.500    3.500  273.626   0.00
WGT:  -37.500    4.000  865.280   0.00
WGT:  -37.500    4.500 2736.257   0.00
WGT:  -37.500    5.000 8652.805   0.00
WGT:  -37.500    5.500 27362.571   0.00
WGT:  -37.500    6.000 86528.047   0.00
WGT:  -37.500    6.500 273625.711   0.00
WGT:  -37.500    7.000 865280.474   0.00
WGT:  -37.500    7.500 2736257.112   0.00
WGT:  -37.500    8.000 8652804.738   0.00
WGT:  -37.500    8.500 27362571.120   0.00
WGT:  -37.500    9.000 86528047.376   0.00
WGT:  -37.500    9.500 273625711.197   0.00
WGT:  -37.500   10.000 865280473.764   0.04
WGT:  -37.500   10.500 2736257111.965   0.04
WGT:  -37.500   11.000 8652804737.644   0.04
WGT:  -37.500   11.500 27362571119.650   0.04
WGT:  -37.500   12.000 86528047376.438   0.04
WGT:  -37.500   12.500 273625711196.502   0.04
WGT:  -37.500   13.000 865280473764.382   0.04
WGT:  -37.000    3.000   86.528   0.00
WGT:  -37.000    3.500  273.626   0.00
WGT:  -37.000    4.000  865.280   0.00
WGT:  -37.000    4.500 2736.257   0.00
WGT:  -37.000    5.000 8652.805   0.00
WGT:  -37.000    5.500 27362.571   0.00
WGT:  -37.000    6.000 86528.047   0.00
WGT:  -37.000    6.500 273625.711   0.00
WGT:  -37.000    7.000 865280.474   0.00
WGT:  -37.000    7.500 2736257.112   0.00
WGT:  -37.000    8.000 8652804.738   0.00
WGT:  -37.000    8.500 27362571.120   0.00
WGT:  -37.000    9.000 86528047.376   0.00
WGT:  -37.000    9.500 273625711.197   0.00
WGT:  -37.000   10.000 865280473.764   0.04
WGT:  -37.000   10.500 2736257111.965   0.04
WGT:  -37.000   11.000 8652804737.644   0.04
WGT:  -37.000   11.500 27362571119.650   0.04
WGT:  -37.000   12.000 86528047376.438   0.04
WGT:  -37.000   12.500 273625711196.502   0.04
WGT:  -37.000   13.000 865280473764.382   0.04
WGT:  -36.500    3.000   86.528   0.00
WGT:  -36.500    3.500  273.626   0.00
WGT:  -36.500    4.000  865.280   0.00
WGT:  -36.500    4.500 2736.257   0.00
WGT:  -36.500    5.000 8652.805   0.00
WGT:  -36.500    5.500 27362.571   0.00
WGT:  -36.500    6.000 86528.047   0.00
WGT:  -36.500    6.500 273625.711   0.00
WGT:  -36.500    7.000 865280.474   0.00
WGT:  -36.500    7.500 2736257.112   0.00
WGT:  -36.500    8.000 8652804.738   0.00
WGT:  -36.500    8.500 27362571.120   0.00
WGT:  -36.500    9.000 86528047.376   0.00
WGT:  -36.500    9.500 273625711.197   0.00
WGT:  -36.500   10.000 865280473.764   0.04
WGT:  -36.500   10.500 2736257111.965   0.04
WGT:  -36.500   11.000 8652804737.644   0.04
WGT:  -36.500   11.500 27362571119.650   0.04
WGT:  -36.500   12.000 86528047376.438   0.04
WGT:  -36.500   12.500 273625711196.502   0.04
