# wavelength_angstroms eazyspectemp00 eazyspectemp01 eazyspectemp02 eazyspectemp03 eazyspectemp04 eazyspectemp05 eazyspectemp06 eazyspectemp07 eazyspectemp08 eazyspectemp09 eazyspectemp10 eazyspectemp11 eazyspectemp12
170.0 5.640933e-07 3.198446e-08 1.768987e-06 1.336104e-06 7.329668e-09 9.201583e-07 1.269865e-06 3.802736e-09 2.35905e-07 3.892744e-07 1.721727e-09 9.545427e-10 4.642688e-11
173.0 5.447068e-07 2.634859e-08 1.289821e-06 9.103782e-07 6.074715e-09 7.241171e-07 1.039967e-06 2.877258e-09 1.894334e-07 3.835736e-07 1.332638e-09 7.661463e-10 3.696026e-11
177.0 4.970736e-07 2.671922e-08 1.482713e-06 1.112763e-06 6.016542e-09 7.742045e-07 1.059475e-06 3.160072e-09 1.746441e-07 2.858312e-07 1.420118e-09 7.739837e-10 3.780744e-11
180.0 5.214626e-07 3.0687e-08 1.694903e-06 1.316328e-06 7.113771e-09 8.80708e-07 1.247961e-06 3.706168e-09 2.347696e-07 4.002252e-07 1.681404e-09 9.39176e-10 4.555415e-11
182.0 5.41998e-07 3.536475e-08 1.757401e-06 1.356734e-06 8.041418e-09 9.689109e-07 1.341289e-06 3.931663e-09 2.645109e-07 4.210044e-07 1.801449e-09 1.010012e-09 4.905462e-11
186.0 4.713315e-07 2.745663e-08 1.495954e-06 1.133948e-06 6.265613e-09 7.773868e-07 1.080866e-06 3.220352e-09 1.992615e-07 3.189839e-07 1.457578e-09 8.060479e-10 3.924317e-11
191.0 4.67712e-07 3.041181e-08 1.536896e-06 1.263397e-06 7.190225e-09 8.394976e-07 1.241716e-06 3.580974e-09 2.607135e-07 4.45135e-07 1.650218e-09 9.456011e-10 4.557922e-11
194.0 5.062612e-07 3.376344e-08 1.72501e-06 1.375658e-06 7.875844e-09 9.352952e-07 1.348139e-06 3.915815e-09 2.698053e-07 4.405476e-07 1.795206e-09 1.014116e-09 4.909082e-11
198.0 4.935696e-07 3.480907e-08 1.748122e-06 1.466583e-06 8.451765e-09 9.399237e-07 1.442407e-06 4.146817e-09 3.41879e-07 5.884096e-07 1.929631e-09 1.131875e-09 5.422741e-11
202.0 4.236022e-07 2.877206e-08 1.480007e-06 1.323853e-06 7.198822e-09 7.98713e-07 1.293321e-06 3.652845e-09 2.974686e-07 5.400786e-07 1.699069e-09 1.002873e-09 4.786101e-11
205.0 4.312539e-07 2.818431e-08 1.528423e-06 1.365622e-06 7.108773e-09 7.834908e-07 1.299095e-06 3.713246e-09 3.108113e-07 5.745646e-07 1.723465e-09 1.023889e-09 4.874454e-11
210.0 4.348456e-07 3.051025e-08 1.562255e-06 1.39875e-06 7.679247e-09 8.528434e-07 1.374684e-06 3.876375e-09 3.20493e-07 5.764249e-07 1.80672e-09 1.068364e-09 5.096126e-11
216.0 4.18604e-07 2.837214e-08 1.505806e-06 1.394007e-06 7.305136e-09 8.156161e-07 1.35502e-06 3.801842e-09 3.122521e-07 5.857722e-07 1.77011e-09 1.051799e-09 5.002221e-11
220.0 3.32607e-07 1.743971e-08 1.088574e-06 1.116903e-06 4.962286e-09 5.586e-07 1.052023e-06 2.881837e-09 2.235688e-07 4.713405e-07 1.330174e-09 7.963413e-10 3.759668e-11
223.0 3.720256e-07 2.347454e-08 1.350822e-06 1.288094e-06 6.340635e-09 6.93283e-07 1.233109e-06 3.426582e-09 2.822813e-07 5.462518e-07 1.589986e-09 9.504729e-10 4.504533e-11
227.0 3.800375e-07 2.796463e-08 1.466909e-06 1.386862e-06 7.441485e-09 7.884991e-07 1.380558e-06 3.773925e-09 3.219717e-07 5.778573e-07 1.763937e-09 1.05283e-09 5.001671e-11
230.0 3.855564e-07 2.790491e-08 1.481373e-06 1.683637e-06 8.526164e-09 8.53888e-07 1.773134e-06 4.465241e-09 4.089697e-07 7.435304e-07 2.113588e-09 1.292953e-09 6.070123e-11
